Codice Fornitore	Nome Fornitore	Codice Prodotto	Nome Prodotto	Reparto	Categoria Tassonomia	Sottocategoria	Tassonomia Completa	Categoria Prodotto
19010918	AZIENDA AGRICOLA VALLE DI GRESTA	GREST100	PATATINE DI MONTAGNA CON BUCCIA	DISPENSA	Dolci e prodotti da forno	Frutta secca e pistacchio	DISPENSA > Dolci e prodotti da forno > Frutta secca e pistacchio	Dispensa
19010918	AZIENDA AGRICOLA VALLE DI GRESTA	GREST40	PATATINE DI MONTAGNA CON BUCCIA	DISPENSA	Dolci e prodotti da forno	Frutta secca e pistacchio	DISPENSA > Dolci e prodotti da forno > Frutta secca e pistacchio	Dispensa
19010018	Acquerello	ACQ1	RISO ACQUERELLO PACCO DA 2,5KG	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010018	Acquerello	ACQ3	RISO ACQUERELLO LATTA 500 GR.	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010018	Acquerello	ACQ4	RISO ACQUERELLO LATTINA DA 250GR	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010018	Acquerello	ACQ5	RISO ACQUERELLO INVECCHIATO 7 ANNI 500GR	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010018	Acquerello	ACQ6	RISO ACQUERELLO INVECCHIATO 8 ANNI 500GR	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010018	Acquerello	ACQU2	RISO ACQUERELLO LATTINA DA 1KG	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010117	Agricola Buongiorno	MAB001	Agricola Buongiorno - Peperone Crusco di Senise IGP in Vaso 20g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MAB002	Agricola Buongiorno - Peperone Crusco di Senise IGP in Vaso 50g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MAB003	Agricola Buongiorno - Peperone Crusco di Senise IGP in Vaso 200g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MAB004	Agricola Buongiorno - Peperone Crusco di Senise IGP in Vaso 150g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MAB005	Agricola Buongiorno - Peperone Crusco di Senise IGP in Busta 150g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MAB006	Agricola Buongiorno - Oro Rosso Peperone di Senise IGP in Polvere 100g	DISPENSA	Uova e spezie	Spezie ed erbe	DISPENSA > Uova e spezie > Spezie ed erbe	Dispensa
19010117	Agricola Buongiorno	MAB007	Agricola Buongiorno - Peperone di Senise IGP Secco 100g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MAB008	Agricola Buongiorno - Peperone di Senise IGP Secco a Collana 1kg	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MAB009	Agricola Buongiorno - Peperone Crusco Ricoperto di Cioccolato Fondente 80g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MABBIANCA	Agricola Buongiorno - Melanzana Bianca di Senise PAT in Olio EVO 270g	DISPENSA	Sott'oli e sott'aceti	Peperoni e verdure sott'olio	DISPENSA > Sott'oli e sott'aceti > Peperoni e verdure sott'olio	Dispensa
19010117	Agricola Buongiorno	MABCARD	Agricola Buongiorno - Funghi Cardoncelli della Murgia in Olio EVO 200g	DISPENSA	Sott'oli e sott'aceti	Funghi sott'olio	DISPENSA > Sott'oli e sott'aceti > Funghi sott'olio	Dispensa
19010117	Agricola Buongiorno	MABKET	Agricola Buongiorno - Ketchup al Peperone Crusco di Senise IGP 230g	DISPENSA	Conserve	Sughi e condimenti pronti	DISPENSA > Conserve > Sughi e condimenti pronti	Dispensa
19010117	Agricola Buongiorno	MABMAIO	Agricola Buongiorno - Maionese al Peperone Crusco di Senise IGP 160g	DISPENSA	Conserve	Sughi e condimenti pronti	DISPENSA > Conserve > Sughi e condimenti pronti	Dispensa
19010117	Agricola Buongiorno	MABMARM	Agricola Buongiorno - Confettura Extra di Peperone di Senise IGP 140g	DISPENSA	Conserve	Confetture e mostarde	DISPENSA > Conserve > Confetture e mostarde	Dispensa
19010013	Agricola Lodigiana	002.00.2-05208	Agricola Lodigiana - Riso Nero Integrale/ATM.P 500G	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010013	Agricola Lodigiana	002.01-01932	Agricola Lodigiana - Riso Carnaroli 1kg	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010013	Agricola Lodigiana	002.01.2-02008	Agricola Lodigiana - Riso Carnaroli in tela 1kg	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010013	Agricola Lodigiana	002.01.2-03308	Agricola Lodigiana - Riso Carnaroli in Tela 500gr	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
19010013	Agricola Lodigiana	002.01.2-05106	Agricola Lodigiana - Riso Carnaroli Classico/ 500GR Tubo	DISPENSA	Pasta e riso	Riso	DISPENSA > Pasta e riso > Riso	Dispensa
